time,vx,target_speed,speed_error,throttle,brake,return_code
0.05000000000000004,20.00422721854892,25.0,4.99577278145108,1.0,0.0,0.0
0.10000000000000007,20.052908639955927,25.0,4.947091360044073,1.0,0.0,0.0
0.1500000000000001,20.1423510488794,25.0,4.8576489511205985,1.0,0.0,0.0
0.20000000000000015,20.25488614883047,25.0,4.745113851169531,1.0,0.0,0.0
0.25000000000000017,20.374423441744216,25.0,4.6255765582557835,1.0,0.0,0.0
0.3000000000000002,20.49773635816192,25.0,4.502263641838081,1.0,0.0,0.0
0.35000000000000026,20.63403671060306,25.0,4.365963289396941,1.0,0.0,0.0
0.4000000000000003,20.781096506001475,25.0,4.218903493998525,1.0,0.0,0.0
0.45000000000000034,20.932776274418618,25.0,4.067223725581382,1.0,0.0,0.0
0.5000000000000003,21.083923089900082,25.0,3.9160769100999175,1.0,0.0,0.0
0.5499999999999948,21.23195391526822,25.0,3.768046084731779,0.9688021358953496,0.0,0.0
0.5999999999999893,21.37629601704675,25.0,3.6237039829532485,0.936808871683377,0.0,0.0
0.6499999999999838,21.517703223044126,25.0,3.4822967769558737,0.9058225396575409,0.0,0.0
0.6999999999999783,21.65726205619816,25.0,3.34273794380184,0.8751269932476153,0.0,0.0
0.7499999999999728,21.795718609364197,25.0,3.2042813906358028,0.8443193720402451,0.0,0.0
0.7999999999999673,21.933314174102023,25.0,3.0666858258979772,0.8133504271345704,0.0,0.0
0.8499999999999618,22.069940853590023,25.0,2.9300591464099774,0.7823626171472966,0.0,0.0
0.8999999999999563,22.20538364596973,25.0,2.7946163540302713,0.7515235605216369,0.0,0.0
0.9499999999999508,22.33948367125669,25.0,2.6605163287433093,0.7209310336240581,0.0,0.0
0.9999999999999453,22.47206188239339,25.0,2.5279381176066096,0.6906036504681585,0.0,0.0
1.0499999999999399,22.602436515076718,25.0,2.397563484923282,0.6555957614616952,0.0,0.0
1.0999999999999344,22.72947050213475,25.0,2.270529497865251,0.6212853253756841,0.0,0.0
1.1499999999999289,22.852482966189132,25.0,2.1475170338108676,0.5881865249991164,0.0,0.0
1.1999999999999234,22.971370570032562,25.0,2.028629429967438,0.5563318862696698,0.0,0.0
1.2499999999999178,23.086390187065287,25.0,1.9136098129347126,0.5255434449719919,0.0,0.0
1.2999999999999123,23.197723272570585,25.0,1.8022767274294154,0.495623768692771,0.0,0.0
1.3499999999999068,23.304337357756555,25.0,1.6956626422434447,0.46656512301300945,0.0,0.0
1.3999999999999013,23.4114264103104,25.0,1.5885735896895987,0.43912890119709386,0.0,0.0
1.4499999999998958,23.530158710909593,25.0,1.4698412890904073,0.4095363212071733,0.0,0.0
1.4999999999998903,23.652806252170045,25.0,1.3471937478299552,0.3725985644027463,0.0,0.0
1.5499999999998848,23.768786969581985,25.0,1.231213030418015,0.337801699660859,0.0,0.0
1.5999999999998793,23.87229891151799,25.0,1.1277010884820093,0.308936416792965,0.0,0.0
1.6499999999998738,23.95793251985147,25.0,1.0420674801485283,0.2855499386048661,0.0,0.0
1.6999999999998683,24.020583900935776,25.0,0.979416099064224,0.2688526406656984,0.0,0.0
1.7499999999998628,24.077746998676005,25.0,0.9222530013239947,0.26001936444955537,0.0,0.0
1.7999999999998573,24.14110209047076,25.0,0.8588979095292402,0.24564187496281625,0.0,0.0
1.8499999999998518,24.207260709483123,25.0,0.7927392905168773,0.22511851647594877,0.0,0.0
1.8999999999998463,24.27131632844203,25.0,0.7286836715579703,0.20532013097992163,0.0,0.0
1.9499999999998407,24.329274215144952,25.0,0.6707257848550476,0.18808149357910492,0.0,0.0
1.9999999999998352,24.374449013532683,25.0,0.6255509864673172,0.1740413242618797,0.0,0.0
2.049999999999852,24.405327063547993,25.0,0.5946729364520067,0.16595847285988474,0.0,0.0
2.0999999999998686,24.42828058926304,25.0,0.5717194107369608,0.1621547691565538,0.0,0.0
2.1499999999998853,24.448421796563366,25.0,0.5515782034366339,0.15788738736076985,0.0,0.0
2.199999999999902,24.46720783399766,25.0,0.5327921660023414,0.15238107407120152,0.0,0.0
2.2499999999999187,24.4842846088603,25.0,0.5157153911397003,0.14673079539507702,0.0,0.0
2.2999999999999354,24.499121855313266,25.0,0.5008781446867339,0.14174741228628235,0.0,0.0
2.349999999999952,24.51163415495292,25.0,0.48836584504708114,0.13763251345416788,0.0,0.0
2.399999999999969,24.522097885902138,25.0,0.4779021140978621,0.13422712047238383,0.0,0.0
